Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Angola,AGO,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,81.90919
Angola,AGO,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,74.64644
Angola,AGO,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,89.26408
Angola,AGO,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,23.6083202362061
Angola,AGO,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,34.033618927002
Angola,AGO,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,13.0303802490234
Angola,AGO,Children out of school (% of primary school age),SE.PRM.UNER.ZS,18.0908107757568
Angola,AGO,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,25.3535594940186
Angola,AGO,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,10.7359199523926
Angola,AGO,"Children out of school, primary",SE.PRM.UNER,730775
Angola,AGO,"Children out of school, primary, female",SE.PRM.UNER.FE,515304
Angola,AGO,"Children out of school, primary, male",SE.PRM.UNER.MA,215471
Angola,AGO,"Compulsory education, duration (years)",SE.COM.DURS,6
Angola,AGO,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,..
Angola,AGO,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,..
Angola,AGO,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..
Angola,AGO,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,..
Angola,AGO,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Angola,AGO,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Angola,AGO,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Angola,AGO,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,..
Angola,AGO,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,..
Angola,AGO,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..
Angola,AGO,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,..
Angola,AGO,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,..
Angola,AGO,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..
Angola,AGO,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,..
Angola,AGO,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,..
Angola,AGO,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..
Angola,AGO,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,..
Angola,AGO,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,..
Angola,AGO,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..
Angola,AGO,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,..
Angola,AGO,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,..
Angola,AGO,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..
Angola,AGO,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,..
Angola,AGO,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,..
Angola,AGO,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..
Angola,AGO,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,..
Angola,AGO,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,..
Angola,AGO,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..
Angola,AGO,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,..
Angola,AGO,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,..
Angola,AGO,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,..
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.42131996154785
Angola,AGO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,8.68476963043213
Angola,AGO,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,..
Angola,AGO,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..
Angola,AGO,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,..
Angola,AGO,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,122.83605
Angola,AGO,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,153.37827
Angola,AGO,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,138.02579
